datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
22/03/2018,26,23,2,327,Milk,Pregnant,32082,1336,0,0,0,0,0,0,10.7,10.5,0,0,236,190,0,0,145,14,10,65,45,26,649,0
22/03/2018,86,6,1,251,Milk,Pregnant,35605,1483,0,0,0,0,0,0,9.6,9.3,0,0,180,182,0,0,134,5,10,88,56,18,877,0
22/03/2018,2714,6,1,249,Milk,Pregnant,41471,1727,0,0,0,0,0,0,9.6,9.2,0,0,185,166,0,0,186,19,9,62,39,37,556,0
23/03/2018,26,23,2,328,Milk,Pregnant,27113,1129,0,0,0,0,0,0,10.9,10.4,0,0,195,181,0,0,124,-8,-1,-1,-1,-1,-1,0
23/03/2018,86,6,1,252,Milk,Pregnant,33248,1385,0,0,0,0,0,0,9.5,9.3,0,0,234,185,0,0,170,31,-1,-1,-1,-1,-1,0
23/03/2018,2714,6,1,250,Milk,Pregnant,36447,1518,0,0,0,0,0,0,10.1,9.2,0,0,184,160,0,0,184,18,-1,-1,-1,-1,-1,0
24/03/2018,26,23,2,329,Milk,Pregnant,29768,1240,0,0,0,0,0,0,10.6,10.4,0,0,190,184,0,0,144,5,9,87,54,18,781,0
24/03/2018,86,6,1,253,Milk,Pregnant,35810,1492,0,0,0,0,0,0,9.3,9.2,0,0,245,187,0,0,129,21,-1,-1,-1,-1,-1,0
24/03/2018,2714,6,1,251,Milk,Pregnant,40485,1686,0,0,0,0,0,0,9.1,9.2,0,0,199,162,0,0,204,27,6,98,41,35,588,0
25/03/2018,26,23,2,330,Milk,Pregnant,29926,1246,0,0,0,0,0,0,9.7,10.3,0,0,226,184,0,0,128,20,8,104,58,14,835,0
25/03/2018,86,6,1,254,Milk,Pregnant,35868,1494,0,0,0,0,0,0,9.5,9.3,0,0,238,191,0,0,119,6,-1,-1,-1,-1,-1,0
25/03/2018,2714,6,1,252,Milk,Pregnant,39274,1636,0,0,0,0,0,0,9,9.3,0,0,170,163,0,0,210,53,8,92,51,27,739,0
26/03/2018,26,23,2,331,Milk,Pregnant,29029,1209,0,0,0,0,0,0,10.6,10.2,0,0,185,181,0,0,114,0,8,98,55,17,781,0
26/03/2018,86,6,1,255,Milk,Pregnant,35316,1471,0,0,0,0,0,0,9.3,9.3,0,0,212,192,0,0,139,25,-1,-1,-1,-1,-1,0
26/03/2018,2714,6,1,253,Milk,Pregnant,39721,1655,0,0,0,0,0,0,8.9,9.2,0,0,179,167,0,0,186,12,-1,-1,-1,-1,-1,0
27/03/2018,26,23,2,332,Milk,Pregnant,28647,1193,0,0,0,0,0,0,10.6,10.1,0,0,213,179,0,0,158,25,7,119,57,17,836,0
